0,rank,1/rank
9.0,10.0,0.1
10.0,11.0,0.09090909090909091
12.0,13.0,0.07692307692307693
0.0,1.0,1.0
0.0,1.0,1.0
86.0,87.0,0.011494252873563218
7.0,8.0,0.125
86.0,87.0,0.011494252873563218
322.0,307.0,0.003257328990228013
0.0,1.0,1.0
55.0,56.0,0.017857142857142856
7.0,8.0,0.125
12.0,13.0,0.07692307692307693
0.0,1.0,1.0
131.0,132.0,0.007575757575757576
215.0,214.0,0.004672897196261682
242.0,237.0,0.004219409282700422
25.0,26.0,0.038461538461538464
108.0,109.0,0.009174311926605505
38.0,39.0,0.02564102564102564
18.0,19.0,0.05263157894736842
7.0,8.0,0.125
386.0,346.0,0.002890173410404624
46.0,47.0,0.02127659574468085
477.0,392.0,0.002551020408163265
26.0,27.0,0.037037037037037035
32.0,33.0,0.030303030303030304
65.0,66.0,0.015151515151515152
56.0,57.0,0.017543859649122806
7.0,8.0,0.125
0.0,1.0,1.0
27.0,28.0,0.03571428571428571
251.0,246.0,0.0040650406504065045
144.0,145.0,0.006896551724137931
26.0,27.0,0.037037037037037035
106.0,107.0,0.009345794392523364
36.0,37.0,0.02702702702702703
83.0,84.0,0.011904761904761904
164.0,165.0,0.006060606060606061
30.0,31.0,0.03225806451612903
48.0,49.0,0.02040816326530612
150.0,151.0,0.006622516556291391
13.0,14.0,0.07142857142857142
0.0,1.0,1.0
5.0,6.0,0.16666666666666666
879.0,521.0,0.0019193857965451055
76.0,77.0,0.012987012987012988
0.0,1.0,1.0
0.0,1.0,1.0
12.0,13.0,0.07692307692307693
26.0,27.0,0.037037037037037035
34.0,35.0,0.02857142857142857
22.0,23.0,0.043478260869565216
64.0,65.0,0.015384615384615385
80.0,81.0,0.012345679012345678
0.0,1.0,1.0
16.0,17.0,0.058823529411764705
0.0,1.0,1.0
0.0,1.0,1.0
28.0,29.0,0.034482758620689655
15.0,16.0,0.0625
72.0,73.0,0.0136986301369863
7.0,8.0,0.125
20.0,21.0,0.047619047619047616
39.0,40.0,0.025
2.0,3.0,0.3333333333333333
5.0,6.0,0.16666666666666666
14.0,15.0,0.06666666666666667
7.0,8.0,0.125
35.0,36.0,0.027777777777777776
159.0,160.0,0.00625
24.0,25.0,0.04
48.0,49.0,0.02040816326530612
24.0,25.0,0.04
121.0,122.0,0.00819672131147541
0.0,1.0,1.0
56.0,57.0,0.017543859649122806
8.0,9.0,0.1111111111111111
140.0,141.0,0.0070921985815602835
0.0,1.0,1.0
7.0,8.0,0.125
13.0,14.0,0.07142857142857142
37.0,38.0,0.02631578947368421
5.0,6.0,0.16666666666666666
24.0,25.0,0.04
94.0,95.0,0.010526315789473684
13.0,14.0,0.07142857142857142
5.0,6.0,0.16666666666666666
26.0,27.0,0.037037037037037035
26.0,27.0,0.037037037037037035
26.0,27.0,0.037037037037037035
1.0,2.0,0.5
103.0,104.0,0.009615384615384616
12.0,13.0,0.07692307692307693
1067.0,554.0,0.0018050541516245488
413.0,362.0,0.0027624309392265192
16.0,17.0,0.058823529411764705
81.0,82.0,0.012195121951219513
23.0,24.0,0.041666666666666664
43.0,44.0,0.022727272727272728
449.0,380.0,0.002631578947368421
6.0,7.0,0.14285714285714285
24.0,25.0,0.04
50.0,51.0,0.0196078431372549
423.0,367.0,0.0027247956403269754
21.0,22.0,0.045454545454545456
0.0,1.0,1.0
31.0,32.0,0.03125
40.0,41.0,0.024390243902439025
449.0,380.0,0.002631578947368421
297.0,287.0,0.003484320557491289
236.0,232.0,0.004310344827586207
2.0,3.0,0.3333333333333333
47.0,48.0,0.020833333333333332
18.0,19.0,0.05263157894736842
93.0,94.0,0.010638297872340425
106.0,107.0,0.009345794392523364
136.0,137.0,0.0072992700729927005
71.0,72.0,0.013888888888888888
34.0,35.0,0.02857142857142857
72.0,73.0,0.0136986301369863
28.0,29.0,0.034482758620689655
449.0,380.0,0.002631578947368421
41.0,42.0,0.023809523809523808
11.0,12.0,0.08333333333333333
19.0,20.0,0.05
10.0,11.0,0.09090909090909091
33.0,34.0,0.029411764705882353
11.0,12.0,0.08333333333333333
12.0,13.0,0.07692307692307693
53.0,54.0,0.018518518518518517
14.0,15.0,0.06666666666666667
49.0,50.0,0.02
256.0,251.0,0.00398406374501992
228.0,225.0,0.0044444444444444444
24.0,25.0,0.04
14.0,15.0,0.06666666666666667
30.0,31.0,0.03225806451612903
6.0,7.0,0.14285714285714285
6.0,7.0,0.14285714285714285
309.0,298.0,0.003355704697986577
7.0,8.0,0.125
12.0,13.0,0.07692307692307693
24.0,25.0,0.04
3.0,4.0,0.25
44.0,45.0,0.022222222222222223
138.0,139.0,0.007194244604316547
28.0,29.0,0.034482758620689655
24.0,25.0,0.04
211.0,211.0,0.004739336492890996
32.0,33.0,0.030303030303030304
0.0,1.0,1.0
11.0,12.0,0.08333333333333333
142.0,143.0,0.006993006993006993
283.0,276.0,0.0036231884057971015
51.0,52.0,0.019230769230769232
66.0,67.0,0.014925373134328358
251.0,246.0,0.0040650406504065045
13.0,14.0,0.07142857142857142
51.0,52.0,0.019230769230769232
14.0,15.0,0.06666666666666667
17.0,18.0,0.05555555555555555
14.0,15.0,0.06666666666666667
134.0,135.0,0.007407407407407408
1918.0,599.0,0.001669449081803005
54.0,55.0,0.01818181818181818
51.0,52.0,0.019230769230769232
85.0,86.0,0.011627906976744186
356.0,327.0,0.0030581039755351682
34.0,35.0,0.02857142857142857
77.0,78.0,0.01282051282051282
70.0,71.0,0.014084507042253521
7.0,8.0,0.125
9.0,10.0,0.1
11.0,12.0,0.08333333333333333
110.0,111.0,0.009009009009009009
41.0,42.0,0.023809523809523808
20.0,21.0,0.047619047619047616
0.0,1.0,1.0
32.0,33.0,0.030303030303030304
104.0,105.0,0.009523809523809525
24.0,25.0,0.04
255.0,250.0,0.004
136.0,137.0,0.0072992700729927005
243.0,238.0,0.004201680672268907
48.0,49.0,0.02040816326530612
184.0,185.0,0.005405405405405406
10.0,11.0,0.09090909090909091
42.0,43.0,0.023255813953488372
14.0,15.0,0.06666666666666667
566.0,432.0,0.0023148148148148147
64.0,65.0,0.015384615384615385
6.0,7.0,0.14285714285714285
28.0,29.0,0.034482758620689655
16.0,17.0,0.058823529411764705
76.0,77.0,0.012987012987012988
51.0,52.0,0.019230769230769232
10.0,11.0,0.09090909090909091
37.0,38.0,0.02631578947368421
266.0,260.0,0.0038461538461538464
290.0,282.0,0.0035460992907801418
13.0,14.0,0.07142857142857142
18.0,19.0,0.05263157894736842
12.0,13.0,0.07692307692307693
50.0,51.0,0.0196078431372549
21.0,22.0,0.045454545454545456
